Source,Target,Weight
C00008,TA01,1
C00008,TA06,1
C00008,TA08,1
C00008,T0006,1
C00008,T0009,1
C00008,T0008,1
C00008,T0013,1
C00008,T0014,1
C00009,TA08,1
C00009,T0010,1
C00009,T0029,1
C00010,TA05,1
C00010,T00018,1
C00011,TA03,1
C00011,TA04,1
C00011,TA05,1
C00011,TA08,1
C00011,TA09,1
C00011,T0059,1
C00012,TA07,1
C00012,TA09,1
C00012,TA10,1
C00012,T0001,1
C00012,T0002,1
C00012,T0007,1
C00012,T0008,1
C00012,T0009,1
C00012,T0013,1
C00012,T0014,1
C00012,T0015,1
C00012,T0016,1
C00012,T0017,1
C00012,T0018,1
C00012,T0021,1
C00012,T0022,1
C00012,T0024,1
C00012,T0025,1
C00012,T0026,1
C00012,T0043,1
C00012,T0045,1
C00012,T0046,1
C00012,T0047,1
C00012,T0048,1
C00012,T0049,1
C00012,T0051,1
C00012,T0052,1
C00012,T0053,1
C00012,T0054,1
C00012,T0055,1
C00012,T0056,1
C00012,T0057,1
C00012,T0061,1
C00014,TA01,1
C00014,TA06,1
C00014,TA08,1
C00014,T0006,1
C00014,T0009,1
C00014,T0008,1
C00014,T0013,1
C00014,T0014,1
C00006,T0009,1
C00006,T0008,1
C00006,T0007,1
C00006,T0013,1
C00006,T0014,1
C00006,T0015,1
C00006,T0016,1
C00006,T0017,1
C00006,T0018,1
C00006,T0022,1
C00006,T0021,1
C00006,T0025,1
C00006,T0024,1
C00006,T0026,1
C00006,T0045,1
C00006,T0043,1
C00006,T0056,1
C00006,T0051,1
C00006,T0049,1
C00006,T0052,1
C00006,T0054,1
C00006,T0053,1
C00006,T0055,1
C00006,T0058,1
C00006,T0057,1
C00019,TA08,1
C00019,TA09,1
C00019,TA10,1
C00021,All,1
C00022,T0002,1
C00024,TA01,1
C00024,T0006,1
C00024,T0027,1
C00024,T0022,1
C00024,T0023,1
C00026,T0002,1
C00027,TA01,1
C00027,TA08,1
C00027,T0006,1
C00027,T0022,1
C00027,T0023,1
C00027,T0027,1
C00027,T0047,1
C00027,T0048,1
C00027,T0053,1
C00028,TA07,1
C00028,TA08,1
C00028,TA09,1
C00028,TA10,1
C00031,T0002,1
C00031,T0003,1
C00031,T0006,1
C00036,T0005,1
C00036,T0007,1
C00036,T0017,1
C00036,T0025,1
C00036,T0056,1
C00036,T0057,1
C00040,T0009,1
C00042,T0004,1
C00042,T0019,1
C00042,T0022,1
C00042,T0027,1
C00042,T0028,1
C00042,T0042,1
C00042,T0044,1
C00042,T0056,1
C00042,T0059,1
C00044,TA07,1
C00044,T0049,1
C00044,T0054,1
C00048,TA08,1
C00048,T0048,1
C00048,T0057,1
C00048,T0061,1
C00051,T0012,1
C00052,T0012,1
C00053,T0011,1
C00053,TA06,1
C00053,T0008,1
C00058,T0017,1
C00058,T0061,1
C00060,TA07,1
C00060,T0047,1
C00062,All,1
C00065,T0018,1
C00066,T0015,1
C00066,T0055,1
C00067,T0017,1
C00067,T0061,1
C00070,T0008,1
C00070,T0014,1
C00070,T0015,1
C00070,T0017,1
C00070,T0046,1
C00070,T0052,1
C00070,T0055,1
C00070,T0057,1
C00070,T0056,1
C00071,T0019,1
C00071,T0056,1
C00072,T0019,1
C00072,T0010,1
C00072,T0044,1
C00072,T0021,1
C00072,T0022,1
C00072,T0023,1
C00072,T0026,1
C00072,T0025,1
C00072,T0027,1
C00072,T0039,1
C00072,T0055,1
C00072,T0049,1
C00073,T0016,1
C00073,T0019,1
C00073,T0056,1
C00073,T0010,1
C00073,T0021,1
C00073,T0022,1
C00073,T0023,1
C00073,T0026,1
C00073,T0025,1
C00073,T0027,1
C00073,T0039,1
C00073,T0040,1
C00073,T0044,1
C00073,T0045,1
C00073,T0048,1
C00073,T0053,1
C00073,T0056,1
C00073,T0060,1
C00074,T0019,1
C00074,T0021,1
C00074,T0022,1
C00074,T0026,1
C00074,T0025,1
C00074,T0043,1
C00074,T0050,1
C00074,T0051,1
C00074,T0049,1
C00074,T0052,1
C00074,T0053,1
C00074,T0054,1
C00074,T0055,1
C00074,T0057,1
C00074,T0061,1
C00074,T0060,1
C00076,T0016,1
C00076,T0018,1
C00076,T0039,1
C00076,T0044,1
C00076,T0021,1
C00078,TA07,1
C00078,T0044,1
C00078,T0046,1
C00078,T0056,1
C00078,T0052,1
C00078,T0060,1
C00080,T0003,1
C00080,T0004,1
C00080,T0028,1
C00080,T0022,1
C00080,T0027,1
